 Compound & Wavelength |   Flux   |    Doppler Shift    |  Temperature  
_______________________|__________|_____________________|_______________
       O2 - 632        |   0.896  |      0.0171363      |   150.000
       O2 - 690        |   0.896  |      0.0016408      |   339.796
       O2 - 760        |   0.859  |      0.0018645      |   150.000
      H2O - 720        |   0.841  |      0.0200865      |   450.000
      H2O - 820        |   0.737  |      0.0235265      |   192.857
      H2O - 940        |   0.920  |      0.0174253      |   150.000
      CO2 - 1400       |   0.847  |      0.0012163      |   150.000
      CO2 - 1600       |   0.933  |      0.0291551      |   450.000
      CH4 - 1660       |   0.896  |      0.0132633      |   241.837
      CH4 - 2200       |   0.761  |      0.0625286      |   339.796
       CO - 2340       |   0.884  |      0.0657224      |   247.959
      N2O - 2870       |   0.884  |      0.0799490      |   321.429
